,state,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop,model_coeffs
20,Maryland,4815202,2461512,0.511196,0.488804,2415,50.0,0.1573498964803312,0.8426501035196687,0.3538461035196688,-0.3538461035196687,4.452411381168333
21,Massachusetts,5663723,4086011,0.721435529,0.278564471,1700,30.0,0.2888235294117647,0.7111764705882353,0.4326119995882352,-0.4326119995882353,-5.009855678385927
22,Michigan,7914602,6021926,0.76086277,0.2391372299999999,3931,50.0,0.2520987026201984,0.7479012973798016,0.5087640673798016,-0.5087640673798017,9.275650398222421
23,Minnesota,4389033,3550129,0.808863593,0.191136407,1197,27.0,0.3609022556390977,0.6390977443609023,0.4479613373609022,-0.4479613373609022,18.189553807266904
24,Mississippi,2277599,1328758,0.583402961,0.416597039,1924,84.0,0.2219334719334719,0.7780665280665281,0.3614694890665281,-0.3614694890665281,6.593293942586609
25,Missouri,4775612,3772337,0.789916978,0.2100830219999999,6490,136.0,0.2368258859784283,0.7631741140215716,0.5530910920215717,-0.5530910920215717,-0.4764491008079401
26,Montana,850123,737204,0.867173338,0.132826662,1308,154.0,0.5321100917431193,0.4678899082568807,0.3350632462568806,-0.3350632462568806,-11.097444007857472
27,Nebraska,1476127,1199242,0.812424676,0.187575324,1786,121.0,0.332026875699888,0.6679731243001119,0.480397800300112,-0.4803978003001119,6.003226412688512
28,Nevada,2413326,1311982,0.543640602,0.456359398,1415,59.0,0.2862190812720848,0.7137809187279152,0.2574215207279152,-0.2574215207279151,-4.341875476462141
29,New Hampshire,1120680,1005446,0.89717493,0.1028250699999999,732,65.0,0.5560109289617486,0.4439890710382513,0.3411640010382514,-0.3411640010382514,-4.068939674505156
30,New Jersey,7281310,4167391,0.572340829,0.4276591709999999,2212,30.0,0.2002712477396021,0.7997287522603979,0.3720695812603979,-0.3720695812603979,3.1074301687593917
31,New Mexico,1638989,876177,0.53458382,0.4654161799999999,11611,708.0,0.041598484196021,0.958401515803979,0.492985335803979,-0.4929853358039791,-3.379770256586658
32,New York,16088135,9153551,0.568962841,0.4310371589999999,9193,57.0,0.2543239421298814,0.7456760578701186,0.3146388988701186,-0.3146388988701187,-9.186369792982997
33,North Carolina,8155099,5300137,0.649916942,0.3500830579999999,6587,81.0,0.2398664035220889,0.760133596477911,0.4100505384779112,-0.4100505384779111,8.74190537209143
34,North Dakota,596093,509175,0.854187182,0.145812818,1139,191.0,0.3169446883230904,0.6830553116769096,0.5372424936769096,-0.5372424936769096,-2.274222105271517
35,Ohio,9207562,7297449,0.792549537,0.207450463,5103,55.0,0.2821869488536155,0.7178130511463845,0.5103625881463845,-0.5103625881463845,0.03834084576396337
36,Oklahoma,3010698,2028656,0.673815839,0.326184161,2908,97.0,0.3328748280605227,0.6671251719394773,0.3409410109394772,-0.3409410109394773,3.430735044834575
37,Oregon,3370652,2609035,0.774044606,0.2259553939999999,1545,46.0,0.4194174757281553,0.5805825242718446,0.3546271302718447,-0.3546271302718448,-8.676042995339541
