state,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop
New Mexico,1638989,876177,0.53458382,0.46541617999999996,11612,708.0,0.041594901825697556,0.9584050981743024,0.49298891817430246,-0.49298891817430246
New York,16088135,9153551,0.568962841,0.43103715899999995,9194,57.0,0.2542962801827279,0.7457037198172721,0.3146665608172722,-0.3146665608172722
North Carolina,8155099,5300137,0.649916942,0.35008305799999995,6587,81.0,0.23986640352208896,0.760133596477911,0.41005053847791106,-0.41005053847791106
North Dakota,596093,509175,0.854187182,0.145812818,1139,191.0,0.3169446883230904,0.6830553116769096,0.5372424936769096,-0.5372424936769096
Ohio,9207562,7297449,0.792549537,0.20745046300000003,5105,55.0,0.2820763956904995,0.7179236043095005,0.5104731413095005,-0.5104731413095005
Oklahoma,3010698,2028656,0.673815839,0.32618416100000003,2908,97.0,0.3328748280605227,0.6671251719394773,0.34094101093947726,-0.34094101093947726
Oregon,3370652,2609035,0.774044606,0.22595539399999998,1549,46.0,0.42027114267269206,0.579728857327308,0.35377346332730797,-0.35377346332730797
Pennsylvania,10353548,8011431,0.773786049,0.22621395099999997,5022,49.0,0.2964954201513341,0.7035045798486659,0.4772906288486659,-0.4772906288486659
Rhode Island,887594,661221,0.744958844,0.255041156,384,43.0,0.3046875,0.6953125,0.440271344,-0.440271344
South Carolina,4014460,2645357,0.65895712,0.34104288000000005,2922,73.0,0.27173169062286107,0.7282683093771389,0.3872254293771389,-0.3872254293771389
South Dakota,669255,561954,0.839670977,0.16032902299999996,1836,274.0,0.28812636165577343,0.7118736383442266,0.5515446153442266,-0.5515446153442266
Tennessee,5384473,4013858,0.745450483,0.25454951699999995,5130,95.0,0.43879142300194934,0.5612085769980506,0.3066590599980507,-0.30665905999805065
Texas,21866700,11466950,0.524402402,0.475597598,67283,308.0,0.06771398421592378,0.9322860157840762,0.4566884177840762,-0.4566884177840762
Utah,2324051,1861739,0.801074933,0.198925067,2559,110.0,0.35365377100429857,0.6463462289957014,0.4474211619957014,-0.44742116199570137
Vermont,524482,477428,0.910284814,0.08971518599999995,576,110.0,0.5104166666666666,0.48958333333333337,0.3998681473333334,-0.3998681473333334
Virginia,6745054,4235488,0.627939821,0.372060179,4944,73.0,0.28640776699029125,0.7135922330097088,0.34153205400970876,-0.34153205400970876
Washington,6024689,4190823,0.695608188,0.304391812,2511,42.0,0.35125448028673834,0.6487455197132617,0.3443537077132617,-0.3443537077132617
West Virginia,1432932,1301276,0.908121251,0.09187874900000004,1952,136.0,0.5199795081967213,0.48002049180327866,0.3881417428032786,-0.3881417428032786
Wisconsin,4612300,3837032,0.831912928,0.16808707199999995,1567,34.0,0.3120612635609445,0.6879387364390555,0.5198516644390556,-0.5198516644390555
Wyoming,441337,381441,0.864285115,0.13571488499999995,652,148.0,0.450920245398773,0.5490797546012269,0.41336486960122704,-0.413364869601227
